;;Germans;Germans;Germans;Foreigners;Foreigners;Foreigners;Total;Total;Total
;;Male;Female;Total;Male;Female;Total;Male;Female;Total
2020-12-01;  General and Comp. Literary Studies and Linguistics;287;594;881;168;341;509;455;935;1390
2020-12-01;  Classical Philology, Modern Greek;133;138;271;52;54;106;185;192;377
2020-12-01;  German Stud. (Germ., Germanic Lang. excl. English);773;1470;2243;201;490;691;974;1960;2934
2020-12-01;  English Studies, American Studies;263;821;1084;148;350;498;411;1171;1582
2020-12-01;  Romance Studies;147;431;578;105;220;325;252;651;903
2020-12-01;  Slavic, Baltic, Finno-Ugrian Studies;35;103;138;21;99;120;56;202;258
2020-12-01;  Non-European Linguistics and Cultural Studies;346;452;798;342;442;784;688;894;1582
2020-12-01;  Cultural Studies in the narrower sense;172;401;573;126;163;289;298;564;862
2020-12-01;  Islamic Studies/Islamic Theology;24;12;36;23;6;29;47;18;65
2020-12-01;  Media Science;166;232;398;42;54;96;208;286;494
2020-12-01;Sports;512;449;961;96;58;154;608;507;1115
2020-12-01;Law, Business and Economics, Social Sciences;14096;13098;27194;2331;2665;4996;16427;15763;32190
2020-12-01;  Law, Business and Economics, Social Sciences, gen.;310;260;570;48;48;96;358;308;666
2020-12-01;  Regional Studies;299;120;419;74;38;112;373;158;531
2020-12-01;  Political Science;896;648;1544;281;260;541;1177;908;2085
2020-12-01;  Social Sciences/Sociology;979;1204;2183;263;334;597;1242;1538;2780
2020-12-01;  Applied Social Science;75;150;225;7;21;28;82;171;253
2020-12-01;  Law;4749;3238;7987;687;633;1320;5436;3871;9307
2020-12-01;  Administrative Sciences;21;14;35;14;10;24;35;24;59
2020-12-01;  Business and Economics;4500;2610;7110;650;619;1269;5150;3229;8379
2020-12-01;  Business Engineering specialising in Economics;113;43;156;11;6;17;124;49;173
2020-12-01;  Psychology;947;2195;3142;132;315;447;1079;2510;3589
2020-12-01;  Educational Sciences;1085;2401;3486;135;322;457;1220;2723;3943
2020-12-01;  Communication Science/Journalism;122;215;337;29;59;88;151;274;425
2020-12-01;Mathematics, Natural Sciences;18824;12606;31430;6966;6309;13275;25790;18915;44705
2020-12-01;  Mathematics, Natural Sciences, general;390;425;815;151;167;318;541;592;1133
2020-12-01;  Mathematics;1738;685;2423;431;227;658;2169;912;3081
2020-12-01;  Physics, Astronomy;5284;1142;6426;1885;959;2844;7169;2101;9270
2020-12-01;  Chemistry;5825;3372;9197;1580;1347;2927;7405;4719;12124
2020-12-01;  Pharmacy;706;674;1380;195;244;439;901;918;1819
2020-12-01;  Biology;3390;5113;8503;1967;2757;4724;5357;7870;13227
2020-12-01;  Geosciences (excluding Geography);965;747;1712;590;439;1029;1555;1186;2741
2020-12-01;  Geography;526;448;974;167;169;336;693;617;1310
2020-12-01;Human Medicine/Health Science;14872;24319;39191;2957;3826;6783;17829;28145;45974
2020-12-01;  Health Science;411;865;1276;128;197;325;539;1062;1601
2020-12-01;  Human Medicine (excluding dentistry);13149;20998;34147;2650;3410;6060;15799;24408;40207
2020-12-01;  Dentistry;1312;2456;3768;179;219;398;1491;2675;4166
2020-12-01;Agricultural, Forest a.Nutr. Sciences,Veterin.Med.;1250;2592;3842;691;731;1422;1941;3323;5264
2020-12-01;  Veterinary Medicine;339;1495;1834;85;151;236;424;1646;2070
2020-12-01;  Land Management Engineering, Environmental Design;54;76;130;26;21;47;80;97;177
2020-12-01;  Agricult. Sciences, Food and Beverage Technology;630;728;1358;463;430;893;1093;1158;2251
2020-12-01;  Forest Science, Wood Science;167;96;263;92;81;173;259;177;436
2020-12-01;  Nutritional and Domestic Sciences;60;197;257;25;48;73;85;245;330
2020-12-01;Engineering Sciences;20592;4636;25228;6399;2575;8974;26991;7211;34202
2020-12-01;  Engineering, general;644;183;827;189;67;256;833;250;1083
2020-12-01;  Mining, Metallurgy;196;58;254;87;29;116;283;87;370
2020-12-01;  Mechnical Engineering/Process Engineering;7912;1638;9550;1666;584;2250;9578;2222;11800
2020-12-01;  Electrical Engineering and Information Technology;3775;544;4319;1369;419;1788;5144;963;6107
2020-12-01;  Traffic Engineering, Nautical Science;647;103;750;111;35;146;758;138;896
2020-12-01;  Architecture, Interior Architecture;311;285;596;158;157;315;469;442;911
2020-12-01;  Spatial Planning;161;168;329;165;162;327;326;330;656
2020-12-01;  Civil Engineering;1283;536;1819;586;256;842;1869;792;2661
2020-12-01;  Surveying;152;47;199;93;39;132;245;86;331
2020-12-01;  Business Engineer. specialising in Engineering Sc.;182;61;243;15;20;35;197;81;278
2020-12-01;  Computer Science;4678;813;5491;1682;644;2326;6360;1457;7817
2020-12-01;  Materials Engineering and Materials Technology;651;200;851;278;163;441;929;363;1292
2020-12-01;Art, Art Theory;1004;1999;3003;242;470;712;1246;2469;3715
2020-12-01;  Art, Art Theory, general;367;1333;1700;70;241;311;437;1574;2011
2020-12-01;  Fine Arts;24;35;59;9;15;24;33;50;83
2020-12-01;  Design;75;77;152;19;20;39;94;97;191
2020-12-01;  Perform. Arts, Film and Telev.Stud., Theatre Stud.;99;171;270;30;66;96;129;237;366
2020-12-01;  Music, Musicology;439;383;822;114;128;242;553;511;1064
2020-12-01;Outside the classification of subject areas;1345;1660;3005;571;675;1246;1916;2335;4251
2021-12-01;Humanities;6804;8693;15497;2653;3335;5988;9457;12028;21485
2021-12-01;  Humanities, general;170;293;463;75;153;228;245;446;691
2021-12-01;  Protestant Theology, Protes. Religious Education;455;473;928;147;58;205;602;531;1133
2021-12-01;  Catholic Theology, Catholic Religious Education;481;372;853;195;37;232;676;409;1085
2021-12-01;  Philosophy;1003;719;1722;547;339;886;1550;1058;2608
2021-12-01;  History;2261;2107;4368;410;410;820;2671;2517;5188
2021-12-01;  Information and library sciences;15;23;38;2;9;11;17;32;49
2021-12-01;  General and Comp. Literary Studies and Linguistics;334;680;1014;191;385;576;525;1065;1590
2021-12-01;  Classical Philology, Modern Greek;135;144;279;53;66;119;188;210;398
2021-12-01;  German Stud. (Germ., Germanic Lang. excl. English);755;1481;2236;202;481;683;957;1962;2919
2021-12-01;  English Studies, American Studies;284;813;1097;153;361;514;437;1174;1611
2021-12-01;  Romance Studies;153;427;580;109;229;338;262;656;918
2021-12-01;  Slavic, Baltic, Finno-Ugrian Studies;37;97;134;32;90;122;69;187;256
2021-12-01;  Non-European Linguistics and Cultural Studies;347;459;806;359;496;855;706;955;1661
2021-12-01;  Cultural Studies in the narrower sense;164;368;532;123;167;290;287;535;822
2021-12-01;  Islamic Studies/Islamic Theology;39;16;55;17;3;20;56;19;75
2021-12-01;  Media Science;171;221;392;38;51;89;209;272;481
2021-12-01;Sports;493;443;936;101;70;171;594;513;1107
2021-12-01;Law, Business and Economics, Social Sciences;14460;13718;28178;2409;2818;5227;16869;16536;33405
2021-12-01;  Law, Business and Economics, Social Sciences, gen.;279;242;521;43;44;87;322;286;608
2021-12-01;  Regional Studies;339;136;475;74;33;107;413;169;582
2021-12-01;  Political Science;880;638;1518;284;286;570;1164;924;2088
2021-12-01;  Social Sciences/Sociology;1050;1320;2370;289;370;659;1339;1690;3029
2021-12-01;  Applied Social Science;79;161;240;6;23;29;85;184;269
2021-12-01;  Law;4908;3429;8337;664;635;1299;5572;4064;9636
2021-12-01;  Administrative Sciences;32;16;48;19;8;27;51;24;75
2021-12-01;  Business and Economics;4649;2767;7416;707;682;1389;5356;3449;8805
2021-12-01;  Business Engineering specialising in Economics;112;48;160;11;6;17;123;54;177
2021-12-01;  Psychology;934;2317;3251;145;358;503;1079;2675;3754
2021-12-01;  Educational Sciences;1061;2401;3462;133;300;433;1194;2701;3895
2021-12-01;  Communication Science/Journalism;137;243;380;34;73;107;171;316;487
2021-12-01;Mathematics, Natural Sciences;19086;13094;32180;7574;7062;14636;26660;20156;46816
2021-12-01;  Mathematics, Natural Sciences, general;363;435;798;136;165;301;499;600;1099
2021-12-01;  Mathematics;1724;721;2445;501;259;760;2225;980;3205
2021-12-01;  Physics, Astronomy;5244;1215;6459;2098;1095;3193;7342;2310;9652
2021-12-01;  Chemistry;5966;3579;9545;1726;1567;3293;7692;5146;12838
2021-12-01;  Pharmacy;797;733;1530;212;266;478;1009;999;2008
2021-12-01;  Biology;3439;5181;8620;2125;3056;5181;5564;8237;13801
2021-12-01;  Geosciences (excluding Geography);1045;815;1860;618;484;1102;1663;1299;2962
2021-12-01;  Geography;508;415;923;158;170;328;666;585;1251
2021-12-01;Human Medicine/Health Science;16841;27612;44453;3274;4314;7588;20115;31926;52041
2021-12-01;  Health Science;453;984;1437;128;233;361;581;1217;1798
2021-12-01;  Human Medicine (excluding dentistry);14940;23911;38851;2978;3858;6836;17918;27769;45687
2021-12-01;  Dentistry;1448;2717;4165;168;223;391;1616;2940;4556
2021-12-01;Agricultural, Forest a.Nutr. Sciences,Veterin.Med.;1276;2695;3971;710;790;1500;1986;3485;5471
2021-12-01;  Veterinary Medicine;385;1601;1986;106;183;289;491;1784;2275
2021-12-01;  Land Management Engineering, Environmental Design;48;79;127;30;24;54;78;103;181
2021-12-01;  Agricult. Sciences, Food and Beverage Technology;638;730;1368;460;456;916;1098;1186;2284
2021-12-01;  Forest Science, Wood Science;155;92;247;88;78;166;243;170;413
2021-12-01;  Nutritional and Domestic Sciences;50;193;243;26;49;75;76;242;318
2021-12-01;Engineering Sciences;21159;4934;26093;6841;2823;9664;28000;7757;35757
2021-12-01;  Engineering, general;662;185;847;207;74;281;869;259;1128
2021-12-01;  Mining, Metallurgy;193;62;255;87;28;115;280;90;370
2021-12-01;  Mechnical Engineering/Process Engineering;8087;1671;9758;1727;627;2354;9814;2298;12112
2021-12-01;  Electrical Engineering and Information Technology;3808;557;4365;1458;447;1905;5266;1004;6270
2021-12-01;  Traffic Engineering, Nautical Science;627;104;731;108;37;145;735;141;876
2021-12-01;  Architecture, Interior Architecture;319;313;632;163;170;333;482;483;965
2021-12-01;  Spatial Planning;177;184;361;168;180;348;345;364;709
2021-12-01;  Civil Engineering;1344;577;1921;623;273;896;1967;850;2817
2021-12-01;  Surveying;176;54;230;105;52;157;281;106;387
2021-12-01;  Business Engineer. specialising in Engineering Sc.;174;60;234;18;18;36;192;78;270
2021-12-01;  Computer Science;4851;948;5799;1852;728;2580;6703;1676;8379
2021-12-01;  Materials Engineering and Materials Technology;741;219;960;325;189;514;1066;408;1474
2021-12-01;Art, Art Theory;1007;2036;3043;252;484;736;1259;2520;3779
2021-12-01;  Art, Art Theory, general;354;1331;1685;70;255;325;424;1586;2010
2021-12-01;  Fine Arts;21;42;63;10;15;25;31;57;88
2021-12-01;  Design;68;86;154;17;21;38;85;107;192
2021-12-01;  Perform. Arts, Film and Telev.Stud., Theatre Stud.;104;171;275;36;58;94;140;229;369
2021-12-01;  Music, Musicology;460;406;866;119;135;254;579;541;1120
2021-12-01;Outside the classification of subject areas;150;159;309;71;66;137;221;225;446
2022-12-01;Humanities;6735;8760;15495;2803;3482;6285;9538;12242;21780
2022-12-01;  Humanities, general;175;320;495;92;174;266;267;494;761
2022-12-01;  Protestant Theology, Protes. Religious Education;468;509;977;152;59;211;620;568;1188
2022-12-01;  Catholic Theology, Catholic Religious Education;459;371;830;201;40;241;660;411;1071
2022-12-01;  Philosophy;1025;731;1756;591;361;952;1616;1092;2708
2022-12-01;  History;2223;2089;4312;414;425;839;2637;2514;5151
2022-12-01;  Information and library sciences;15;19;34;3;6;9;18;25;43
2022-12-01;  General and Comp. Literary Studies and Linguistics;314;660;974;206;389;595;520;1049;1569
2022-12-01;  Classical Philology, Modern Greek;124;137;261;60;70;130;184;207;391
2022-12-01;  German Stud. (Germ., Germanic Lang. excl. English);731;1489;2220;200;491;691;931;1980;2911
2022-12-01;  English Studies, American Studies;275;827;1102;162;368;530;437;1195;1632
2022-12-01;  Romance Studies;155;389;544;109;234;343;264;623;887
2022-12-01;  Slavic, Baltic, Finno-Ugrian Studies;45;102;147;32;99;131;77;201;278
2022-12-01;  Non-European Linguistics and Cultural Studies;337;465;802;399;517;916;736;982;1718
2022-12-01;  Cultural Studies in the narrower sense;188;408;596;125;191;316;313;599;912
2022-12-01;  Islamic Studies/Islamic Theology;35;16;51;18;5;23;53;21;74
2022-12-01;  Media Science;166;228;394;39;53;92;205;281;486
2022-12-01;Sports;577;513;1090;115;77;192;692;590;1282
2022-12-01;Law, Business and Economics, Social Sciences;14400;14027;28427;2378;2795;5173;16778;16822;33600
2022-12-01;  Law, Business and Economics, Social Sciences, gen.;276;245;521;49;61;110;325;306;631
2022-12-01;  Regional Studies;294;120;414;67;35;102;361;155;516
2022-12-01;  Political Science;858;631;1489;275;284;559;1133;915;2048
2022-12-01;  Social Sciences/Sociology;1042;1318;2360;262;351;613;1304;1669;2973
2022-12-01;  Applied Social Science;85;165;250;4;22;26;89;187;276
2022-12-01;  Law;4969;3491;8460;668;611;1279;5637;4102;9739
2022-12-01;  Administrative Sciences;39;22;61;20;7;27;59;29;88
2022-12-01;  Business and Economics;4546;2789;7335;680;671;1351;5226;3460;8686
2022-12-01;  Business Engineering specialising in Economics;99;50;149;11;8;19;110;58;168
2022-12-01;  Psychology;990;2486;3476;178;380;558;1168;2866;4034
2022-12-01;  Educational Sciences;1056;2455;3511;126;297;423;1182;2752;3934
2022-12-01;  Communication Science/Journalism;146;255;401;38;68;106;184;323;507
2022-12-01;Mathematics, Natural Sciences;18621;13164;31785;7914;7545;15459;26535;20709;47244
2022-12-01;  Mathematics, Natural Sciences, general;425;531;956;161;201;362;586;732;1318
2022-12-01;  Mathematics;1687;719;2406;541;281;822;2228;1000;3228
2022-12-01;  Physics, Astronomy;5033;1213;6246;2247;1165;3412;7280;2378;9658
2022-12-01;  Chemistry;5812;3546;9358;1750;1628;3378;7562;5174;12736
2022-12-01;  Pharmacy;768;774;1542;197;257;454;965;1031;1996
2022-12-01;  Biology;3380;5162;8542;2196;3326;5522;5576;8488;14064
2022-12-01;  Geosciences (excluding Geography);1015;809;1824;658;509;1167;1673;1318;2991
2022-12-01;  Geography;501;410;911;164;178;342;665;588;1253
2022-12-01;Human Medicine/Health Science;17199;28694;45893;3502;4610;8112;20701;33304;54005
2022-12-01;  Health Science;467;1041;1508;168;292;460;635;1333;1968
2022-12-01;  Human Medicine (excluding dentistry);15348;24931;40279;3173;4086;7259;18521;29017;47538
2022-12-01;  Dentistry;1384;2722;4106;161;232;393;1545;2954;4499
2022-12-01;Agricultural, Forest a.Nutr. Sciences,Veterin.Med.;1305;2839;4144;729;811;1540;2034;3650;5684
2022-12-01;  Veterinary Medicine;381;1768;2149;80;164;244;461;1932;2393
2022-12-01;  Land Management Engineering, Environmental Design;57;74;131;40;30;70;97;104;201
2022-12-01;  Agricult. Sciences, Food and Beverage Technology;662;706;1368;491;482;973;1153;1188;2341
2022-12-01;  Forest Science, Wood Science;154;92;246;90;83;173;244;175;419
2022-12-01;  Nutritional and Domestic Sciences;51;199;250;28;52;80;79;251;330
2022-12-01;Engineering Sciences;21856;5313;27169;7308;3108;10416;29164;8421;37585
2022-12-01;  Engineering, general;705;207;912;228;86;314;933;293;1226
2022-12-01;  Mining, Metallurgy;194;70;264;87;29;116;281;99;380
2022-12-01;  Mechnical Engineering/Process Engineering;8219;1761;9980;1841;644;2485;10060;2405;12465
2022-12-01;  Electrical Engineering and Information Technology;3999;595;4594;1590;552;2142;5589;1147;6736
2022-12-01;  Traffic Engineering, Nautical Science;659;112;771;127;45;172;786;157;943
2022-12-01;  Architecture, Interior Architecture;316;318;634;160;172;332;476;490;966
2022-12-01;  Spatial Planning;163;193;356;161;194;355;324;387;711
2022-12-01;  Civil Engineering;1346;587;1933;638;270;908;1984;857;2841
2022-12-01;  Surveying;176;69;245;114;56;170;290;125;415
2022-12-01;  Business Engineer. specialising in Engineering Sc.;167;63;230;20;16;36;187;79;266
2022-12-01;  Computer Science;5126;1080;6206;2003;832;2835;7129;1912;9041
2022-12-01;  Materials Engineering and Materials Technology;786;258;1044;339;212;551;1125;470;1595
2022-12-01;Art, Art Theory;1020;2053;3073;278;516;794;1298;2569;3867
2022-12-01;  Art, Art Theory, general;365;1323;1688;79;264;343;444;1587;2031
2022-12-01;  Fine Arts;29;41;70;12;20;32;41;61;102
2022-12-01;  Design;72;86;158;19;23;42;91;109;200
2022-12-01;  Perform. Arts, Film and Telev.Stud., Theatre Stud.;108;173;281;34;60;94;142;233;375
2022-12-01;  Music, Musicology;446;430;876;134;149;283;580;579;1159
2022-12-01;Outside the classification of subject areas;89;76;165;44;46;90;133;122;255
